,id,brand,car_model,type,desc,problem,datetime,status
0,487762,吉利汽车,星越,2019款 350T 驭星者,吉利星越4S店销售库存车 服务承诺不兑现	,"H15,L314,M283,",2020-06-24,信息审核
1,487761,上汽大众,朗逸,2013款 1.4TSI DSG舒适版,上汽大众朗逸变速箱机电单元损坏4S店不保修,"B96,B115,I297,",2020-06-24,信息审核
2,487759,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领潮版,奇瑞艾瑞泽5发动机渗油售后不予质保,"A12,",2020-06-24,信息审核
3,487758,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越变速箱顿挫 拖挡导致共振严重,"B19,B69,",2020-06-24,信息审核
4,487757,新特汽车,SITECH DEV 1,2018款 创睿版,新特SITECH DEV 1配件质量差频繁故障,"H134,H101,",2020-06-24,信息审核
5,487752,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际购车旅游基金不兑现厂家拖延不处理,"I295,L313,",2020-06-24,信息审核
6,487747,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越没有挡位灯和前雾灯与宣传不符,"M279,",2020-06-24,信息审核
7,487746,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动行驶跑偏 发动机抖动,"A24,G117,",2020-06-24,信息审核
8,487741,吉利汽车,帝豪,2017款 1.5L CVT 向上版 三厢 百万款,吉利帝豪刹车疲软 存在安全隐患,"E269,",2020-06-24,信息审核
9,487740,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,上汽名爵6踩刹车异响4S店多次维修不保修,"E43,I295,I297,J298,",2020-06-24,厂家受理
10,487739,上汽集团,名爵ZS,2019款 1.5L 手动 65寸巨幕天窗全球版 国VI,上汽名爵ZS发动机高温熄火厂家不回复,"A191,I295,I294,",2020-06-24,厂家受理
11,487736,吉利汽车,帝豪,2019款 领军版 1.5L 手动 豪华型 国VI,吉利帝豪发动机脚垫前摆臂横梁有维修痕迹,"M283,",2020-06-24,信息审核
12,487734,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达扶手箱滑轨断裂4S店不保修,"H168,I297,N317,",2020-06-24,信息审核
13,487727,东风标致,标致4008,2017款 350THP 精英版,东风标致4008服务站未将保养记录上传,"J299,",2020-06-24,信息审核
14,487724,吉利汽车,帝豪,2014款 1.5L 手动 时尚型 三厢,吉利帝豪变速箱打齿无法正常挂挡,"B20,B77,",2020-06-24,信息审核
15,487720,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳喇叭声音发闷影响使用,"H151,",2020-06-24,信息审核
16,487718,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放尾灯自然开裂质量差,"H220,I295,",2020-06-24,信息审核
17,487717,奇瑞汽车,艾瑞泽7,2016款 1.6L CVT 致尚版,奇瑞艾瑞泽7车门生锈存在质量问题,"H79,",2020-06-24,信息审核
18,487712,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越实车无挡位显示灯与宣传不符,"M279,",2020-06-24,信息审核
19,487711,沃尔沃（进口）,沃尔沃V40,2019款 T4 智雅版,进口沃尔沃V40经销商手续办理缓慢,"I282,O353,",2020-06-24,信息审核
20,487710,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 运动型 国VI,一汽大众奥迪A3新车无法缴纳购置税,"M284,",2020-06-24,信息审核
21,487709,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机无法启动要求解决,"A44,",2020-06-24,信息审核
22,487706,广汽本田,飞度,2020款 1.5L CVT 舒适天窗版,广汽本田飞度邓禄普轮胎爆胎存在质量问题,"F130,N316,",2020-06-23,信息审核
23,487702,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏开裂影响正常使用,"H134,",2020-06-23,信息审核
24,487694,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌仪表台开裂 车内有异响,"H176,H164,",2020-06-23,信息审核
25,487692,北京现代,瑞纳,2017款 1.4L 手动 焕彩版 国V,北京现代瑞纳发动机异响一直没有处理好,"A9,",2020-06-23,信息审核
26,487691,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机有异响,"A9,",2020-06-23,信息审核
27,487688,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙行驶中天窗和车身有异响,"H15,H89,",2020-06-23,信息审核
28,487686,江铃汽车,驭胜S350,2016款 2.4T 自动 四驱 柴油 豪华版 5座,江铃驭胜S350质保期内车身多处有生锈的现象,"H79,",2020-06-23,信息审核
29,487685,东风标致,标致408,2019款 350THP 自动 豪华版 国V,东风标致408驾驶位与副驾驶位上方有异响,"H164,",2020-06-23,厂家受理
0,487681,东南汽车,V5菱致,2014款 1.5T CVT 智控型,东南V5菱致行驶过程中变速箱故障失去动力,"B96,B334,",2020-06-23,信息审核
1,487680,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越升级GKUI19系统后依然卡顿,"O348,",2020-06-23,信息审核
2,487679,吉利汽车,星越,2019款 350T 耀星者,吉利星越雨刮器在工作时卡顿而且异响,"H60,",2020-06-23,信息审核
3,487677,上汽斯柯达,速派,2013款 1.4T DSG 绅仕版,斯柯达速派座椅开裂 材质与宣传不符,"H168,H169,",2020-06-23,信息审核
4,487675,上汽斯柯达,速派,2016款 TSI330 DSG 创行版,斯柯达速派变速箱故障灯亮机电单元损坏,"B96,B77,B115,",2020-06-23,信息审核
5,487672,长安马自达,马自达3 昂克赛拉,2016款 1.5L 手动 豪华型 三厢,长安马自达昂克赛拉中控屏幕爆裂影响使用,"H134,H168,",2020-06-23,信息审核
6,487671,东风雪铁龙,爱丽舍,2014款 1.6L 手动 时尚型CNG,东风雪铁龙爱丽舍启动后变速箱无法挂挡,"B20,",2020-06-23,信息审核
7,487670,一汽-大众奥迪,奥迪A6L,2020款 45 TFSI quattro 臻选致雅型,一汽大众奥迪A6L承诺多色氛围灯实际未配备,"M279,",2020-06-23,信息审核
8,487669,福田,捷运,BJ5048CCY_AI,福田捷运启动后挂一挡发动机无动力,"A163,",2020-06-23,信息审核
9,487668,东风日产,天籁,2019款 2.0T XL 智领版,东风日产天籁行驶时中控台存在金属摩擦声,"H93,",2020-06-23,信息审核
10,487667,东风本田,本田CR-V,2019款 耀目版 240TURBO CVT 两驱 舒适版 国VI,东风本田CR-V天窗遮阳帘无法开启 换挡异响,"B33,H192,",2020-06-23,信息审核
11,487666,众泰汽车,众泰T500,2018款 1.5T 手动 尊享型 5座,众泰T500中控显示屏闪烁无法使用,"H134,",2020-06-23,厂家受理
12,487662,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 超豪型 蓝标,哈弗H6 Coupe电瓶亏电充电后未解决,"H146,",2020-06-23,信息审核
13,487660,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700方向盘转不动希望尽快解决,"D156,D291,",2020-06-23,信息审核
14,487651,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L变速箱机电单元故障,"B115,",2020-06-23,信息审核
15,487647,北京现代,菲斯塔,2019款 280TGDi 运动版 国VI,北京现代菲斯塔4S店不兑现贴膜承诺,"L313,",2020-06-23,信息审核
16,487645,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越车机系统黑屏死机升级承诺不兑现,"H155,L314,",2020-06-23,信息审核
17,487641,吉利汽车,缤瑞,2019款 200T DCT 缤致版,吉利缤瑞变速箱装配工艺不合格导致异响,"B33,",2020-06-23,信息审核
18,487639,吉利汽车,缤越,2019款 260T DCT 游侠 运动款 国V,吉利缤越车门漏风 系统升级承诺不兑现,"H144,L314,",2020-06-23,信息审核
19,487638,北汽银翔,幻速S6,2017款 1.5T 手动 智能型,北汽幻速S6发动机噪音大后视镜漆面变色,"A38,H201,",2020-06-23,信息审核
20,487635,吉利汽车,吉利icon,2020款 300T i9 BSG,吉利icon厂家置换补贴政策不兑现,"L313,",2020-06-23,信息审核
21,487634,奇瑞汽车,捷途X70S,2019款 X70S 1.5T 手动 征途版 国V,捷途X70S发动机冷却风扇固定螺丝脱落,"A191,A145,H101,",2020-06-23,厂家受理
22,487615,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际漆面起泡希望厂家处理问题,"H81,",2020-06-23,信息审核
23,487613,长安马自达,马自达CX-5,2015款 2.5L 自动 四驱 旗舰型,长安马自达CX-5中控屏闪屏希望厂家处理,"H134,",2020-06-23,信息审核
24,487612,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越贴膜工艺差导致门窗有起泡,"J303,J299,",2020-06-23,信息审核
25,487611,东风悦达起亚,起亚K4,2017款 1.6T 自动 T-DLX Turbo,东风悦达起亚K4变速箱抖动换挡顿挫,"B19,B95,",2020-06-23,信息审核
26,487609,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客中控卡屏播放音乐断开,"H134,",2020-06-23,信息审核
27,487605,一汽-大众奥迪,奥迪A6L,2016款 TFSI 双离合 运动型,一汽大众奥迪A6L节温器底座漏液,"A37,",2020-06-23,信息审核
28,487603,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408减震器异响希望得到处理,"G52,",2020-06-23,厂家受理
29,487602,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德左后方安全带无法抽出,"H118,",2020-06-23,厂家受理
0,487600,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越漆面脱落严重影响车辆美观,"H81,",2020-06-23,信息审核
1,487596,北京现代,领动,2020款 1.5L CVT 智炫·精英型,北京现代领动新车顶棚存在明显污渍,"L313,M284,",2020-06-23,信息审核
2,487594,长城汽车,WEY VV5,2020款 1.5T 两驱 智先锋,WEY VV5流媒体重启影响正常使用	,"H155,",2020-06-23,信息审核
3,487592,长城汽车,哈弗H2,2017款 1.5T 自动 两驱精英型 蓝标,哈弗H2颠簸时转向与左前轮异响明显,"D59,G125,",2020-06-23,信息审核
4,487588,吉利汽车,吉利GX7,2014款 2.0L 自动 尊贵型,吉利GX7冷车启动发动机异响升挡顿挫,"A9,B19,",2020-06-23,信息审核
5,487587,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 豪华型 三厢 国V,长安马自达昂克赛拉减震器异响漏油,"G52,G25,",2020-06-23,信息审核
6,487586,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L倍耐力轮胎鼓包,"F39,",2020-06-23,信息审核
7,487584,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内异味刹车盘异响,"D59,E43,H185,",2020-06-23,信息审核
8,487583,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL离合器不回位刹车故障灯亮,"C267,E62,",2020-06-23,信息审核
9,487577,上汽大众,朗逸,2011款 1.4TSI DSG 品雅版,上汽大众朗逸起步时抖动 换挡时顿挫,"B19,B95,C87,",2020-06-23,信息审核
10,487575,一汽-大众,高尔夫,2017款 280TSI 自动 R-Line百万辆纪念版,一汽大众高尔夫韩泰轮胎开裂影响行车安全,"F100,",2020-06-23,信息审核
11,487570,北京现代,领动,2016款 1.4T  双离合 炫动·精英型,北京现代领动发动机异响漏水 压缩机损坏,"A9,A37,H101,",2020-06-23,信息审核
12,487567,广汽丰田,凯美瑞,2016款 2.5HG CVT 十周年纪念豪华导航版 双擎,广汽丰田凯美瑞中控黑屏触摸没反应,"H134,",2020-06-23,处理反馈
13,487566,上汽大众,途观L新能源,2019款 430PHEV 混动豪华版,上汽大众途观L新能源仪表盘外罩开裂,"H168,",2020-06-23,信息审核
14,487565,长安汽车,长安欧尚CX70,2017款 1.5T 手动 豪擎版 CX70T,长安欧尚CX70变速箱异响顿挫传动轴异响,"B33,B19,G158,H67,",2020-06-23,信息审核
15,487563,东风本田,本田XR-V,2020款 1.5L CVT 舒适版,东风本田XR-V后风挡玻璃存在划痕,"H113,",2020-06-23,信息审核
16,487562,一汽-大众奥迪,奥迪A4L,2017款 2.0T 双离合 时尚型 Plus,一汽大众奥迪A4L发动机节温器漏防冻液,"A37,",2020-06-23,信息审核
17,487560,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放购车缴纳定金未退还,"K309,",2020-06-23,信息审核
18,487559,北京奔驰,奔驰GLB,2020款 GLB 200 时尚型,北京奔驰GLB车窗有严重异响希望解决,"H72,",2020-06-23,信息审核
19,487555,长城汽车,哈弗H2,2018款 1.5T 双离合 两驱 精英型 红标,哈弗H2自动驻车故障报警电瓶亏电厂家未回复,"H146,H170,I294,",2020-06-23,处理反馈
20,487554,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来前挡风玻璃破裂质量差,"H113,",2020-06-23,信息审核
21,487553,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳发动机怠速时油箱有异响,"H147,",2020-06-23,信息审核
22,487550,上汽大众,朗逸,2017款 1.6L 手动 风尚版,上汽大众朗逸方向盘异响空调异味排气管生锈,"D59,G51,H101,H30,",2020-06-23,信息审核
23,487548,长安汽车,锐程CC,2020款 1.5T 自动 炫锐型,长安锐程CC变速箱P挡卡顿影响正常使用,"B20,",2020-06-23,信息审核
24,487547,福田汽车,拓陆者,2019款 2.0T E7 手动 四驱 城市版 高配 4G20TI4,福田拓陆者变速箱倒挡打齿 发动机故障灯亮,"A34,B77,",2020-06-23,信息审核
25,487546,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越大客户补贴未兑现 升级后车机卡顿,"H155,L313,O348,",2020-06-23,信息审核
26,487545,东风雪铁龙,雪铁龙C3-XR,2018款 1.6L 自动 先锋型 改款,东风雪铁龙C3-XR发动机故障灯亮,"A34,",2020-06-23,厂家受理
27,487544,东风日产,逍客,2019款 2.0L CVT 豪华版,东风日产逍客刹车异响4S店不予解决,"E43,",2020-06-23,信息审核
28,487541,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响照明,"H82,",2020-06-23,信息审核
29,487540,广汽丰田,凯美瑞,2015款 2.5HG CVT 豪华导航版 双擎,广汽丰田凯美瑞左右半轴防尘罩漏油,"G51,",2020-06-23,处理反馈
0,487530,一汽-大众奥迪,奥迪A4L,2015款 2.0T CVT 标准型,奥迪A4L防冻液水壶开裂导致冷却液泄漏,"A37,H168,",2020-06-23,信息审核
1,487528,吉利汽车,远景,2017款 1.5L 自动 幸福版,吉利远景发动机抖动 后杠色差要求尽快处理,"A24,B20,H201,",2020-06-23,信息审核
2,487527,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,一汽大众速腾4S店销售库存车不履行承诺,"I295,I293,L313,M283,",2020-06-23,信息审核
3,487526,众泰汽车,众泰E200,2018款 Pro,众泰E200中控屏损坏无法使用希望处理,"H134,",2020-06-23,信息审核
4,487525,一汽-大众奥迪,奥迪Q5,2012款 2.0TFSI  自动 舒适型,一汽大众奥迪Q5变速箱挂倒挡无法行驶,"B334,",2020-06-23,信息审核
5,487524,众泰汽车,众泰T300,2018款 1.5L CVT 尊贵型,众泰T300主驾驶玻璃升降器开关损坏,"H67,N318,",2020-06-23,厂家受理
6,487523,东风雪铁龙,世嘉,2013款 2.0L 自动 品悦型 三厢,东风雪铁龙世嘉变速箱电磁阀故障挡位锁死,"B20,B84,",2020-06-23,厂家受理
7,487519,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 优雅版,吉利帝豪GS底盘生锈4S店不予处理,"H79,",2020-06-23,信息审核
8,487518,东风日产,逍客,2016款 2.0L CVT 旗舰版,东风日产逍客起步无力 变速箱顿挫,"B19,B334,",2020-06-23,信息审核
9,487517,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车辆多处减配一直不予处理,"Q350,",2020-06-23,信息审核
10,487515,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾变速箱故障机电单元损坏,"B96,B84,B115,",2020-06-23,信息审核
11,487511,吉利汽车,远景X3,2017款 1.5L 手动 尊贵型,吉利远景X3经销商私自收取利息及保险押金,"K307,",2020-06-23,信息审核
12,487510,吉利汽车,缤瑞,2018款 14T CVT 缤致版,吉利缤瑞四个车门全部生锈希望尽快解决,"H79,",2020-06-23,信息审核
13,487508,吉利汽车,博越,2016款 1.8TD 自动 两驱 智尚型,吉利博越仪表盘花屏售后不予免费质保,"H134,",2020-06-23,信息审核
14,487506,海马汽车,海马S5,2014款 1.6L 手动 智尚型,海马S5变速箱异响 漆面腐蚀生锈厂家未处理,"B33,H79,",2020-06-23,处理反馈
15,487505,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国Ⅵ,一汽大众探岳刹车偏软 变速箱顿挫 大灯不亮,"B19,E269,H82,",2020-06-23,信息审核
16,487503,几何汽车,几何A,2019款 高维标准续航立方版,几何A多次无故自动刹停 后门与车轮异响,"G125,H72,H170,",2020-06-23,信息审核
17,487502,上汽斯柯达,柯米克,2020款 GT 1.5L 自动 旗舰版 国VI,斯柯达柯米克ABS系统非正常启动,"E74,",2020-06-23,信息审核
18,487500,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车无挡位灯和前雾灯与宣传不符,"M279,",2020-06-23,信息审核
19,487499,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8水泵泄漏防冻液4S店无配件更换,"A37,A221,N318,",2020-06-23,信息审核
20,487497,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领潮版,奇瑞艾瑞泽5变速箱脱挡无法行驶,"B246,",2020-06-23,信息审核
21,487492,长城汽车,哈弗H6 Coupe,2016款 1.5T 自动 两驱都市型,哈弗H6 Coupe后备箱漏水天窗异响方向盘沉重,"B184,D156,H109,H89,",2020-06-23,处理反馈
22,487491,上汽大众,Polo,2019款 Plus 1.5L 自动 全景乐享版,上汽大众Polo经销商出售库存车态度恶劣,"I293,M283,",2020-06-23,信息审核
23,487490,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智风版,北汽新能源EU5方向跑偏 轮胎吃胎 底盘异响,"G56,G245,G117,",2020-06-23,厂家受理
24,487487,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408正时皮带召口未通知,"O296,",2020-06-23,处理反馈
25,487486,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智风版,北汽新能源EU5车机APP无法实名认证,"I295,O348,",2020-06-23,厂家受理
26,487478,华晨宝马,宝马5系,2018款 530Li 领先型 豪华套装,华晨宝马5系倒车影像黑屏 4S店不予解决,"H134,I295,",2020-06-23,信息审核
27,487476,海马汽车,海马8S,2019款 1.6TGDI 自动 潮版,海马8S经销商换购补贴承诺一直不兑现,"L313,",2020-06-23,处理反馈
28,487473,沃尔沃亚太,沃尔沃S60,2016款 2.0T T4 智远版,亚太沃尔沃S60前悬架平衡杆胶套有异响,"G204,",2020-06-23,信息审核
29,487472,广汽丰田,雷凌,2019款 185T CVT 豪华版 国VI,广汽丰田雷凌变速箱顿挫厂家推诿未解决,"B19,I295,I282,",2020-06-23,处理反馈
0,487468,长安马自达,马自达CX-5,2015款 2.0L 自动 两驱 都市型,长安马自达CX-5变速箱行驶时有异响,"B33,",2020-06-23,处理反馈
1,487465,雷克萨斯,雷克萨斯NX,2015款 200t 锋尚版 全驱 5座,雷克萨斯NX发动机真空阀损坏出现异响,"A9,A163,",2020-06-23,信息审核
2,487462,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳发动机故障灯亮 电瓶漏液,"A34,H146,",2020-06-23,信息审核
3,487461,猎豹汽车,猎豹CS10,2017款 1.5T 手动 精英型,猎豹CS10底盘和方向机异响 车身漏水,"A34,D59,G56,H109,N318,",2020-06-23,信息审核
4,487457,江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国V,江铃福特领界发动机故障灯亮启停功能失效,"A34,H263,J298,O324,",2020-06-23,处理反馈
5,487456,吉利汽车,星越,2019款 350T 探星者,吉利星越刹车和雨刮器异响 车机死机黑屏,"E43,H155,H60,",2020-06-23,处理反馈
6,487454,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L发动机机油加注口渗油,"A12,B22,",2020-06-23,信息审核
7,487452,广汽丰田,凯美瑞,2015款 2.5G 自动 豪华导航版,广汽丰田凯美瑞半轴防尘套漏油4S店不保修,"G161,I297,",2020-06-23,处理反馈
8,487451,奇瑞汽车,捷途X70,2018款 1.5T 手动 悦行版,捷途X70雨刮器喷水角度太低4S店拒赔,"H60,I297,",2020-06-23,处理反馈
9,487448,吉利汽车,星越,2019款 350T 耀星者,吉利星越起步时变速箱顿挫换挡不顺畅,"B19,B20,M279,Q350,",2020-06-23,处理反馈
10,487447,广汽讴歌,讴歌CDX,2016款 1.5T 两驱尊享版,广汽讴歌CDX经销商销售维修过的问题车,"M284,M283,",2020-06-23,信息审核
11,487442,上汽集团,名爵6,2017款 20T 手动 豪华智联版 国V,上汽名爵6离合器打滑踏板脱落4S店不保修,"C16,C166,I297,",2020-06-23,厂家受理
12,487436,一汽-大众,迈腾,2016款 1.8TSI 智享领先型,一汽大众迈腾变速箱异响抖动顿挫,"B33,B19,B95,",2020-06-23,信息审核
13,487434,东风电动轻卡,EV300,ev300,东风电动轻卡EV300续航里程不准确行驶断电,"A346,H344,",2020-06-23,信息审核
14,487430,吉利新能源,博瑞新能源,2018款 1.5T PHEV 耀享版,吉利博越新能源多功能方向盘按键失灵,"H134,",2020-06-23,用户评分
15,487428,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放发动机舱进泥浆,"Q322,",2020-06-23,信息审核
16,487427,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越新车简配雾灯和挡位灯与宣传不符,"M279,",2020-06-23,处理反馈
17,487426,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客变速箱漏油有明显顿挫感,"B19,B22,",2020-06-23,信息审核
18,487422,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白雾不透亮影响使用,"H82,",2020-06-23,信息审核
19,487421,奇瑞捷豹路虎,发现神行,2019款 240PS SE版 国VI,奇瑞捷豹路虎发现神行发动机舱内有杂音,"A9,",2020-06-23,处理反馈
20,487417,吉利汽车,博瑞,2015款 2.4L 舒适型,吉利博瑞车门由内而外生锈并且腐烂,"H79,",2020-06-23,处理反馈
21,487415,宝马（进口）,宝马3系（进口）,2011款 325i 2.5 自动  双门轿跑车,进口宝马3系转向助力故障报警希望解决,"D291,",2020-06-23,信息审核
22,487411,众泰汽车,众泰T600,2015款 1.5T 手动 精英型,众泰T600变速箱异响严重希望尽快处理,"A189,B33,",2020-06-23,处理反馈
23,487410,北京现代,现代ix35,2019款 2.0L 自动 两驱 智勇·畅享版 国VI,北京现代ix35经销商出售库存车未告知,"K308,M283,",2020-06-23,信息审核
24,487406,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱换挡异响 大灯白内障,"B33,H82,",2020-06-23,信息审核
25,487405,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后仍然存在问题,"O348,",2020-06-23,处理反馈
26,487404,东风风行,风行SX6,2018款 1.6L 手动 豪华型,东风风行SX6起步时发动机出现异响,"A9,",2020-06-23,处理反馈
27,487402,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之心版,众泰SR9后备箱开关失灵 行驶中失去动力,"B334,H68,",2020-06-23,处理反馈
28,487399,一汽-大众,宝来,2016款 1.6L 自动 时尚型,大众宝来发动机异响 销售指定款渠道及保险,"A9,K325,",2020-06-23,信息审核
